Name,Price,Rating,Stars
موبايل سامسونج جالاكسي A05 LTE بشريحتي اتصال، نظام تشغيل اندرويد، سعة تخزينية 128 جيجابايت، ذاكرة رام 6 جيجابايت، أخضر فاتح,"5,480.‎",36,3.6 من 5 نجوم
جراب شفاف نحيف للغاية مضاد للاصفرار لموبايل ايفون 14 برو ماكس من يويو تك 2022 ، جراب خلفي مقاوم للخدش ومقاوم للصدمات - شفاف، مادة صناعية,58.‎,97,3.9 من 5 نجوم
سي جي موبايل. جراب جليتر سائل مع شعار مثلث شفاف من جيس، لمعان اضافي، درع واقي مزدوج، تصميم كلاسيكي، مضاد للخدش متوافق مع ايفون 14 بلس (رمادي داكن شفاف)، سيليكون,550.‎,,
دلـع موبايلك جراب مغناطيسي شفاف كريستالي لموبايل ايفون 15+ بلس/ايفون 14 بلس 6.7 بوصة، [متوافق مع ماج سيف] [حماية عسكرية] [مغناطيس قوي رقم 1] جراب رفيع (تيتانيوم),175.‎,,
جراب الومونيوم بدون حواف من Next Store، كفر الحماية متوافق مع هاتف iPhone 14 Pro Max، الجراب بتصميم أنيق ونحيف وصلب أيضا ً، يبدد الحرارة، يحمي الموبايل عند السقوط والصدمات (رمادي),"1,200.‎",,
,,,
موبايل ايفون 14 بلس من ابل (128 جيجابايت) - لون ميدنايت,,304,4.6 من 5 نجوم
هاتف ذكي سامسونج جالاكسي A14 شبكة الجيل الخامس 4G بشريحتين اتصال بنظام اندرويد وذاكرة تخزين 128 جيجابايت وذاكرة RAM سعة 4 جيجابايت، اسود,,177,4.0 من 5 نجوم
موبايل ريدمي 13C بشريحتين اتصال، ذاكرة رام 8 جيجا + ذاكرة تخزين داخلية 256 جيجا (6.74 بوصة) (شبكة الجيل الرابع 4G) - (ميدنايت بلاك),"6,299.‎",50,3.7 من 5 نجوم
موبايل ابل ايفون 14 بلس الجديد (128 جيجابايت) - لون ستارلايت,"37,999.‎",26,4.7 من 5 نجوم
موبايل سامسونج جالاكسي A15 بشاشة 6.5 بوصة بشريحتين اتصال وذاكرة رام سعة 8 جيجابايت + ذاكرة ROM سعة 256 جيجابايت بشبكة الجيل الرابع 4G - (لون أسود),"8,099.‎",930,3.9 من 5 نجوم
موبايل آيفون 15 من آبل، (128 جيجابايت) - أزرق، بشريحتين,"40,693.‎",51,4.3 من 5 نجوم
"جراب شفاف لموبايل ايفون 14, مقاوم للخدش, ممتص للصدمات, جراب ايفون 6.1 بوصة 2022, معزز لحماية الزاوية ، شفاف من البولي يوريثين الحراري",105.‎,270,4.4 من 5 نجوم
